PC1;PC2;
0.425658933;-1.271671528;Caretta_caretta
0.372110611;0.436745679;Chelydra_serpentina
0.594272407;-1.217241596;Cottus_gobio
-0.746484601;0.312972169;Crocodylus_johnsoni
-3.42744411;-0.070257623;Dermochelys_coriacea
0.658752089;-1.37930696;Gasterosteus_aculeatus
0.453821447;0.952338764;Gehyra_variegata
-0.349133186;0.359854269;Kinosternon_flavescens
0.113101202;-0.01997848;Lamna_nasus
0.37152826;-0.305651464;Natrix_natrix
0.140507543;0.324640274;Prionace_glauca
0.818369148;2.576499933;Sceloporus_undulatus
-0.326945557;0.234382598;Sphenodon_punctatus
0.469199436;-0.236951119;Thamnophis_elegans
0.217800154;-1.207730191;Thunnus_orientalis
0.214886222;0.511355274;Tiliqua_rugosa
